feature,importance
al_alloy_secondary_226_lag26,437
Target_Proxy_rz4,427
lme_3m_benchmark_ret,416
electricity_power_index_lag4,408
Target_Proxy_ret,390
Target_Proxy_lag1,366
aluminium_price_index,359
scrap_lme_ratio,331
Target_Proxy_rmax4,325
crude_oil_ret,305
lme_3m_benchmark_lag13,255
usd_eur_ret,242
Target_Proxy_rmin4,231
lme_3m_benchmark_rmax13,230
aluminium_price_index_lag26,223
aluminium_price_index_ret,220
Target_Proxy_rz8,209
usd_inr_ret,206
lme_3m_benchmark,186
dbb_base_metals_etf_lag26,186
electricity_power_index_rz4,182
lme_3m_benchmark_lag1,179
vix_lag2,178
aluminium_price_index_rz26,172
fx_effect_ret,172
dbb_base_metals_etf_lag1,171
electricity_power_index_rmin4,169
vix_lag4,162
aluminium_price_index_rz4,161
Target_Proxy_lag8,158
bdry_freight_lag4,157
dbb_base_metals_etf_lag13,155
Target_Proxy_rz26,153
usd_cny_ret,149
usd_eur,143
lme_3m_benchmark_rz4,142
vix_ret,142
dbb_base_metals_etf_rmax4,141
electricity_power_index_rm8,138
xme_mining_etf_ret,138
aluminium_price_index_rz8,136
vix_rz8,136
usd_inr_rz8,135
usd_eur_rz4,134
week_of_year,131
vix_lag1,130
electricity_power_index_lag1,129
dbb_base_metals_etf_lag6,129
lme_3m_benchmark_lag2,124
Target_Proxy_lag6,123
crude_oil,120
dbb_base_metals_etf_ret,120
usd_eur_lag2,117
crude_oil_lag13,112
electricity_power_index_lag8,111
electricity_power_index_rz8,109
fx_effect_rz8,109
dbb_base_metals_etf,105
Target_Proxy_rz13,104
aluminium_price_index_lag6,104
lme_3m_benchmark_rm26,104
dbb_base_metals_etf_rz4,104
Target_Proxy_rm4,103
lme_3m_benchmark_lag8,103
Target_Proxy_lag13,102
crude_oil_rz4,102
Target_Proxy_rm13,101
vix_lag6,101
vix,100
aluminium_price_index_rz13,99
lme_3m_benchmark_lag26,99
xme_mining_etf_lag1,99
xme_mining_etf_rz4,98
vix_rz4,98
crude_oil_csv_ret,94
xme_mining_etf_lag8,93
vix_rz26,93
usd_cny_rz4,91
