feature,importance
met_coal,0
dry_bulk_freight,0
steel_etf,869
usd_inr,151
pick,228
chn_electricity,443
simn,0
mn_ore,112
covid_disruption,137
ukraine_energy_shock,28
structural_ore_deficit,0
Target_Proxy_ret,552
Target_Proxy_lag1,430
Target_Proxy_lag2,114
Target_Proxy_lag4,157
Target_Proxy_lag6,222
Target_Proxy_lag8,200
Target_Proxy_lag13,134
Target_Proxy_lag26,251
Target_Proxy_rm4,396
Target_Proxy_rz4,420
Target_Proxy_rm8,127
Target_Proxy_rz8,329
Target_Proxy_rm13,100
Target_Proxy_rz13,183
Target_Proxy_rm26,141
Target_Proxy_rz26,194
simn_ret,0
simn_lag1,0
simn_lag2,0
simn_lag4,0
simn_lag6,0
simn_lag8,0
simn_lag13,0
simn_lag26,0
simn_rm4,0
simn_rz4,0
simn_rm8,0
simn_rz8,0
simn_rm13,0
simn_rz13,0
simn_rm26,0
simn_rz26,0
mn_ore_ret,112
mn_ore_lag1,153
mn_ore_lag2,165
mn_ore_lag4,114
mn_ore_lag6,108
mn_ore_lag8,48
mn_ore_lag13,141
mn_ore_lag26,26
mn_ore_rm4,79
mn_ore_rz4,69
mn_ore_rm8,151
mn_ore_rz8,183
mn_ore_rm13,207
mn_ore_rz13,105
mn_ore_rm26,109
mn_ore_rz26,395
chn_electricity_ret,400
chn_electricity_lag1,318
chn_electricity_lag2,244
chn_electricity_lag4,180
chn_electricity_lag6,199
chn_electricity_lag8,209
chn_electricity_lag13,347
chn_electricity_lag26,236
chn_electricity_rm4,157
chn_electricity_rz4,266
chn_electricity_rm8,144
chn_electricity_rz8,195
chn_electricity_rm13,202
chn_electricity_rz13,479
chn_electricity_rm26,163
chn_electricity_rz26,304
met_coal_ret,0
met_coal_lag1,0
met_coal_lag2,0
met_coal_lag4,0
met_coal_lag6,0
met_coal_lag8,0
met_coal_lag13,0
met_coal_lag26,0
met_coal_rm4,0
met_coal_rz4,0
met_coal_rm8,0
met_coal_rz8,0
met_coal_rm13,0
met_coal_rz13,0
met_coal_rm26,0
met_coal_rz26,0
dry_bulk_freight_ret,0
dry_bulk_freight_lag1,0
dry_bulk_freight_lag2,0
dry_bulk_freight_lag4,0
dry_bulk_freight_lag6,0
dry_bulk_freight_lag8,0
dry_bulk_freight_lag13,0
dry_bulk_freight_lag26,0
dry_bulk_freight_rm4,0
dry_bulk_freight_rz4,0
dry_bulk_freight_rm8,0
dry_bulk_freight_rz8,0
dry_bulk_freight_rm13,0
dry_bulk_freight_rz13,0
dry_bulk_freight_rm26,0
dry_bulk_freight_rz26,0
steel_etf_ret,682
steel_etf_lag1,105
steel_etf_lag2,116
steel_etf_lag4,87
steel_etf_lag6,52
steel_etf_lag8,124
steel_etf_lag13,71
steel_etf_lag26,216
steel_etf_rm4,52
steel_etf_rz4,234
steel_etf_rm8,31
steel_etf_rz8,229
steel_etf_rm13,24
steel_etf_rz13,153
steel_etf_rm26,72
steel_etf_rz26,183
usd_inr_ret,399
usd_inr_lag1,150
usd_inr_lag2,89
usd_inr_lag4,112
usd_inr_lag6,155
usd_inr_lag8,154
usd_inr_lag13,163
usd_inr_lag26,261
usd_inr_rm4,74
usd_inr_rz4,298
usd_inr_rm8,76
usd_inr_rz8,280
usd_inr_rm13,91
usd_inr_rz13,190
usd_inr_rm26,54
usd_inr_rz26,344
pick_ret,587
pick_lag1,147
pick_lag2,146
pick_lag4,132
pick_lag6,111
pick_lag8,270
pick_lag13,165
pick_lag26,264
pick_rm4,53
pick_rz4,299
pick_rm8,94
pick_rz8,406
pick_rm13,142
pick_rz13,187
pick_rm26,128
pick_rz26,147
month,218
quarter,0
