feature,importance
Target_Proxy_ret,678
carbon_emissions_futures_rz4,597
Target_Proxy_rmax4,477
thermal_coal_futures,444
steel_etf_rz26,396
vix_lag6,373
Target_Proxy_lag1,362
Target_Proxy_rz4,360
carbon_emissions_futures_ret,316
Target_Proxy_rz26,314
Target_Proxy_rz13,308
cny_inr_rz8,268
zce_fesi_futures_lag13,260
Target_Proxy_rmin4,258
zce_fesi_futures_rm13,255
steel_etf_ret,254
zce_fesi_futures_lag4,241
Target_Proxy_rz8,239
Target_Proxy_lag4,238
thermal_coal_futures_ret,221
zce_fesi_futures_lag26,211
thermal_coal_futures_rz26,201
silica_quartz_index_lag26,195
vix_rz8,190
zce_fesi_futures_lag1,185
cny_inr_rz4,180
zce_fesi_futures_ret,179
india_steel_ret,178
vix_ret,177
Target_Proxy_lag2,176
electricity_power_index_ret,173
zce_fesi_futures_lag8,169
usd_inr_ret,168
india_steel_rz4,167
week_of_year,167
iron_ore_rz26,162
zce_fesi_futures_rz8,160
zce_fesi_futures_lag6,158
steel_etf_rz8,157
iron_ore_ret,157
vix_lag8,156
cny_inr_ret,153
vix_lag4,152
silica_quartz_index_rz4,150
zce_fesi_futures_rz4,150
iron_ore_rz8,149
steel_etf_rz4,147
zce_fesi_futures_rz13,147
fx_effect_lag26,144
vix_lag2,143
vix_rz13,142
zce_fesi_futures,140
fx_effect,136
thermal_coal_futures_lag1,136
zce_fesi_futures_rm26,132
Target_Proxy_rm4,131
vix_lag26,130
iron_ore_lag26,126
usd_inr_rz8,125
fx_effect_ret,125
silica_quartz_index_ret,123
vix,122
silica_quartz_index_lag2,122
Target_Proxy_rmax8,119
steel_etf_rz13,119
cny_inr_rz13,118
electricity_power_index_rz13,118
iron_ore_rz4,117
electricity_power_index_rz4,117
usd_inr_rz4,116
zce_fesi_futures_rm8,116
steel_etf,114
zce_fesi_futures_rmax4,114
carbon_emissions_futures_lag13,114
al_price_ret,111
fx_effect_rz13,110
Target_Proxy_rm8,109
iron_ore_rz13,109
thermal_coal_futures_rz13,109
fx_effect_lag4,109
vix_lag1,108
silica_quartz_index_lag13,108
al_price_lag8,107
thermal_coal_futures_rz8,106
electricity_power_index_rz26,106
al_price_lag26,105
fx_effect_rz8,105
thermal_coal_futures_lag6,104
zce_fesi_futures_rmin13,104
thermal_coal_futures_rz4,102
vix_lag13,102
zce_fesi_futures_lag2,100
al_price_rz4,99
Target_Proxy_lag6,98
zce_fesi_futures_rmin4,98
zce_fesi_futures_rz26,97
carbon_emissions_futures_lag2,97
carbon_emissions_futures_rz8,97
thermal_coal_futures_lag4,92
vix_rz4,90
carbon_emissions_futures_rz13,90
fx_effect_lag8,90
electricity_power_index,88
vix_rmax4,86
carbon_emissions_futures_rz26,86
fx_effect_lag13,85
iron_ore_lag8,83
bdry_freight_ret,83
india_steel_rz8,83
zce_fesi_futures_rm4,83
usd_inr_rz13,82
al_price_rz26,80
silica_quartz_index_lag4,80
fx_effect_rz4,80
silica_quartz_index_rz13,78
steel_ore_ratio,78
india_steel_rz13,77
electricity_power_index_rz8,77
carbon_emissions_futures_rmax4,75
carbon_emissions_futures_rm8,75
al_price_rz13,71
vix_rm8,71
vix_rz26,71
electricity_power_index_lag6,71
fx_effect_lag2,71
india_steel_rz26,70
al_price_rz8,69
fx_effect_rmax13,69
usd_inr_rz26,68
iron_ore,65
fx_effect_rz26,65
Target_Proxy_lag13,64
zce_fesi_futures_rmin8,64
fx_effect_lag1,64
steel_etf_rm8,63
iron_ore_lag6,63
silica_quartz_index_rmin4,63
carbon_emissions_futures_lag4,63
al_price_rm26,62
bdry_freight_rmax26,61
silica_quartz_index_rz8,61
fx_effect_rm26,60
silica_quartz_index,59
steel_etf_lag13,58
thermal_coal_futures_lag8,57
Target_Proxy_lag8,55
Target_Proxy_lag26,54
steel_etf_lag1,54
vix_rmin4,54
cny_inr_rz26,54
zce_fesi_futures_rmax8,54
thermal_coal_futures_lag2,53
bdry_freight_rz4,53
silica_quartz_index_lag6,53
iron_ore_lag13,52
bdry_freight_rz8,52
fx_effect_lag6,52
Target_Proxy_rmax26,49
silica_quartz_index_rz26,49
Target_Proxy_rm13,48
bdry_freight_rz26,48
vix_rmax8,48
iron_ore_lag1,44
carbon_emissions_futures_lag26,43
silica_quartz_index_lag8,42
vix_rm13,41
zce_fesi_futures_rmax13,41
fx_effect_rmax4,41
carbon_emissions_futures,40
iron_ore_lag2,40
vix_rm4,40
carbon_emissions_futures_lag1,40
iron_ore_rm26,39
bdry_freight_rz13,39
