date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2026-05-01,275.01428,114.0844,0.6447,104.963,106.6547,99.7806,12.3483,3614.6345,1247.8844,23.9924,94.6313,148.27,13.786,100.0,5628.0,74.71,174.0133,6.8643
2026-05-08,272.02699,112.8452,0.5757,103.7782,104.7982,101.2531,10.8353,3466.7208,1222.4356,20.2837,95.0326,148.27,13.786,100.0,5628.0,74.71,176.1385,6.8934
2026-05-15,271.55285,112.6485,0.5444,112.0241,103.9793,101.6928,9.8543,3439.8003,1232.733,16.7749,95.4709,148.27,13.786,100.0,5628.0,74.71,176.7731,6.9252
2026-05-22,273.24317,113.3497,0.5296,109.9766,112.2709,101.6454,9.2056,3550.3131,1173.3097,17.2673,94.2868,148.27,13.786,100.0,5628.0,74.71,176.7047,6.8393
2026-05-29,270.37907,112.1616,0.457,114.7477,113.1978,100.9856,9.0924,3426.2048,1141.0777,15.963,95.1789,148.27,13.786,100.0,5628.0,74.71,175.7524,6.904
2026-06-05,275.7204,114.3773,0.4708,117.4378,111.5696,97.0576,9.6061,3555.6267,1191.7945,13.8881,95.1217,148.27,13.786,100.0,5628.0,74.71,170.0832,6.8999
2026-06-12,276.27563,114.6076,0.4352,115.8181,110.8562,90.9454,8.8713,3665.5333,1267.7151,13.6718,95.9713,148.27,13.786,100.0,5628.0,74.71,161.2614,6.9615
2026-06-19,281.09716,116.6078,0.3615,118.6579,118.1513,90.7787,10.0518,3419.0425,1317.4783,13.8097,95.9084,148.27,13.786,100.0,5628.0,74.71,161.0208,6.9569
2026-06-26,276.07641,114.525,0.3612,116.6528,111.2901,86.6677,10.7124,3419.4461,1296.9932,14.9127,96.8621,148.27,13.786,100.0,5628.0,74.71,155.0875,7.0261
2026-07-03,278.27614,115.4375,0.3445,118.0061,115.8851,83.1693,10.5404,3401.1505,1220.6587,15.5831,97.1825,148.27,13.786,100.0,5628.0,74.71,150.0382,7.0494
2026-07-10,275.90704,114.4547,0.2856,116.6835,114.6402,85.4454,10.4929,3442.3544,1121.24,13.3436,98.3134,148.27,13.786,100.0,5628.0,74.71,153.3232,7.1314
2026-07-17,283.69376,117.6849,0.2532,117.773,126.8544,84.5003,10.811,3458.0607,1068.5781,15.9818,98.9811,148.27,13.786,100.0,5628.0,74.71,151.9592,7.1798
2026-07-24,287.15899,119.1224,0.2391,126.3793,134.3751,80.2362,10.9514,3427.057,1114.8008,20.9607,99.7364,148.27,13.786,100.0,5628.0,74.71,145.8049,7.2346
2026-07-31,285.63147,118.4887,0.2759,121.1153,137.1098,76.0123,12.3713,3367.1159,1101.8862,23.8163,98.9641,148.27,13.786,100.0,5628.0,74.71,139.7085,7.1786
2026-08-07,284.95323,118.2074,0.2968,120.0241,136.0776,69.8297,13.604,3513.9932,1063.6258,26.2251,99.9594,148.27,13.786,100.0,5628.0,74.71,130.7851,7.2508
2026-08-14,283.3725,117.5516,0.2664,122.3208,132.2811,77.98,14.1808,3410.446,1096.6001,22.3568,100.6443,148.27,13.786,100.0,5628.0,74.71,142.5485,7.3005
2026-08-21,287.64188,119.3227,0.2785,125.385,137.5505,74.0993,14.423,3292.1895,1062.719,25.6793,100.5748,148.27,13.786,100.0,5628.0,74.71,136.9474,7.2954
