feature,importance
met_coal,0
dry_bulk_freight,0
steel_etf,124
usd_inr,189
pick,135
chn_electricity,494
simn,585
mn_ore,140
covid_disruption,0
ukraine_energy_shock,0
structural_ore_deficit,0
Target_Proxy_ret,1076
Target_Proxy_lag1,621
Target_Proxy_lag2,181
Target_Proxy_lag4,190
Target_Proxy_lag6,156
Target_Proxy_lag8,167
Target_Proxy_lag13,171
Target_Proxy_lag26,115
Target_Proxy_rm4,491
Target_Proxy_rz4,402
Target_Proxy_rm8,219
Target_Proxy_rz8,494
Target_Proxy_rm13,230
Target_Proxy_rz13,728
Target_Proxy_rm26,137
Target_Proxy_rz26,412
simn_ret,17
simn_lag1,135
simn_lag2,109
simn_lag4,85
simn_lag6,79
simn_lag8,58
simn_lag13,180
simn_lag26,50
simn_rm4,420
simn_rz4,66
simn_rm8,113
simn_rz8,119
simn_rm13,110
simn_rz13,217
simn_rm26,61
simn_rz26,292
mn_ore_ret,234
mn_ore_lag1,75
mn_ore_lag2,43
mn_ore_lag4,49
mn_ore_lag6,68
mn_ore_lag8,74
mn_ore_lag13,66
mn_ore_lag26,212
mn_ore_rm4,70
mn_ore_rz4,188
mn_ore_rm8,100
mn_ore_rz8,98
mn_ore_rm13,17
mn_ore_rz13,85
mn_ore_rm26,42
mn_ore_rz26,118
chn_electricity_ret,290
chn_electricity_lag1,236
chn_electricity_lag2,121
chn_electricity_lag4,130
chn_electricity_lag6,84
chn_electricity_lag8,89
chn_electricity_lag13,231
chn_electricity_lag26,88
chn_electricity_rm4,121
chn_electricity_rz4,126
chn_electricity_rm8,64
chn_electricity_rz8,193
chn_electricity_rm13,83
chn_electricity_rz13,225
chn_electricity_rm26,58
chn_electricity_rz26,177
met_coal_ret,0
met_coal_lag1,0
met_coal_lag2,0
met_coal_lag4,0
met_coal_lag6,0
met_coal_lag8,0
met_coal_lag13,0
met_coal_lag26,0
met_coal_rm4,0
met_coal_rz4,0
met_coal_rm8,0
met_coal_rz8,0
met_coal_rm13,0
met_coal_rz13,0
met_coal_rm26,0
met_coal_rz26,0
dry_bulk_freight_ret,0
dry_bulk_freight_lag1,0
dry_bulk_freight_lag2,0
dry_bulk_freight_lag4,0
dry_bulk_freight_lag6,0
dry_bulk_freight_lag8,0
dry_bulk_freight_lag13,0
dry_bulk_freight_lag26,0
dry_bulk_freight_rm4,0
dry_bulk_freight_rz4,0
dry_bulk_freight_rm8,0
dry_bulk_freight_rz8,0
dry_bulk_freight_rm13,0
dry_bulk_freight_rz13,0
dry_bulk_freight_rm26,0
dry_bulk_freight_rz26,0
steel_etf_ret,243
steel_etf_lag1,169
steel_etf_lag2,140
steel_etf_lag4,112
steel_etf_lag6,116
steel_etf_lag8,137
steel_etf_lag13,257
steel_etf_lag26,245
steel_etf_rm4,49
steel_etf_rz4,250
steel_etf_rm8,35
steel_etf_rz8,244
steel_etf_rm13,56
steel_etf_rz13,165
steel_etf_rm26,91
steel_etf_rz26,249
usd_inr_ret,392
usd_inr_lag1,116
usd_inr_lag2,95
usd_inr_lag4,89
usd_inr_lag6,51
usd_inr_lag8,71
usd_inr_lag13,109
usd_inr_lag26,109
usd_inr_rm4,72
usd_inr_rz4,240
usd_inr_rm8,26
usd_inr_rz8,332
usd_inr_rm13,34
usd_inr_rz13,362
usd_inr_rm26,37
usd_inr_rz26,308
pick_ret,294
pick_lag1,156
pick_lag2,142
pick_lag4,135
pick_lag6,194
pick_lag8,201
pick_lag13,260
pick_lag26,214
pick_rm4,66
pick_rz4,122
pick_rm8,56
pick_rz8,153
pick_rm13,68
pick_rz13,197
pick_rm26,128
pick_rz26,130
month,94
quarter,0
