date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-05-01,108.4104,154.8743,0.6461,103653.85956659794,560.883862650047,1226.8875164616195,100.0,100.0,93.80316305194529,94.4093122899087,62.387736584665845
2026-05-08,105.1531,150.2209,0.6238,113829.20538574959,557.6599408811453,1255.23190861028,100.0,100.0,95.01363250832239,94.78565090715398,62.07137349356601
2026-05-15,104.1195,148.7443,0.6026,113189.62297167136,569.3849840795428,1259.9798165472012,100.0,100.0,99.1328548462116,94.99110876369825,62.13502851908238
2026-05-22,104.1278,148.7561,0.5825,112318.39888868568,566.99533324257,1181.1179883446853,100.0,100.0,101.4301274147872,95.11081411525223,62.720993057129505
2026-05-29,104.089,148.7007,0.5633,115885.4259008697,579.8003817197185,1160.4758470014233,100.0,100.0,94.84089438121508,94.9458791908191,68.39035079471772
2026-06-05,104.5713,149.3897,0.5452,123666.03997761164,600.2980541737852,1160.5895862627956,100.0,100.0,96.64701596615271,94.9233172817429,68.04362117443395
2026-06-12,102.5754,146.5384,0.5279,122490.12400871217,613.5416560606677,1137.2832521169858,100.0,100.0,97.15624945410016,94.00101231746041,69.62216778282715
2026-06-19,102.1241,145.8937,0.5115,122635.06223200566,637.381350636918,1094.0202559999418,100.0,100.0,99.75603865387073,94.73968129325047,71.54785729387746
2026-06-26,102.9999,147.1448,0.4959,122103.72313637925,646.527766062555,1074.282536379627,100.0,100.0,99.66497508772184,95.12222759142419,72.81376411825445
2026-07-03,102.8657,146.9531,0.4811,116274.89130524854,660.1248334358975,1006.4151131513955,100.0,100.0,90.56503848046374,96.23372407102323,72.46921679509963
2026-07-10,98.7926,141.1343,0.4671,114903.47891494408,656.5589127319835,1008.6804113345656,100.0,100.0,98.88123639289294,96.70460455007097,70.08792525940976
2026-07-17,97.9478,139.9274,0.4537,108665.50382706178,643.0291507431953,1077.5606235180724,100.0,100.0,101.85202582548541,96.53427123037733,72.62032580913305
2026-07-24,97.752,139.6478,0.441,107593.78331743219,629.7988122292691,1062.9976926568752,100.0,100.0,108.90964119308545,96.01684322022348,71.49657186979304
2026-07-31,98.5844,140.8369,0.429,101814.95919471286,653.4122944144251,1024.4228384740738,100.0,100.0,109.91804227645096,96.25190169323243,69.35423447793112
2026-08-07,103.0411,147.2036,0.4175,101422.6433465246,659.0847537391508,1023.8341049629212,100.0,100.0,107.66300822077795,96.40647441948566,68.44638852833056
2026-08-14,102.9959,147.1392,0.4067,96379.4864531196,646.0977673692512,989.6530794190198,100.0,100.0,115.63604838957302,96.04899148896094,65.78200494179504
2026-08-21,102.7214,146.7469,0.3963,99647.33613593369,665.9777359056466,960.2914728700424,100.0,100.0,117.02350378967586,97.51091134153083,67.07686832233587
