feature,importance
met_coal,0
dry_bulk_freight,0
steel_etf,96
usd_inr,137
pick,98
chn_electricity,582
simn,246
mn_ore,301
covid_disruption,0
ukraine_energy_shock,18
structural_ore_deficit,0
Target_Proxy_ret,647
Target_Proxy_lag1,595
Target_Proxy_lag2,250
Target_Proxy_lag4,161
Target_Proxy_lag6,146
Target_Proxy_lag8,197
Target_Proxy_lag13,258
Target_Proxy_lag26,183
Target_Proxy_rm4,318
Target_Proxy_rz4,368
Target_Proxy_rm8,103
Target_Proxy_rz8,316
Target_Proxy_rm13,159
Target_Proxy_rz13,381
Target_Proxy_rm26,93
Target_Proxy_rz26,272
simn_ret,7
simn_lag1,155
simn_lag2,83
simn_lag4,82
simn_lag6,46
simn_lag8,118
simn_lag13,177
simn_lag26,57
simn_rm4,206
simn_rz4,103
simn_rm8,148
simn_rz8,232
simn_rm13,83
simn_rz13,330
simn_rm26,62
simn_rz26,256
mn_ore_ret,264
mn_ore_lag1,65
mn_ore_lag2,78
mn_ore_lag4,101
mn_ore_lag6,113
mn_ore_lag8,125
mn_ore_lag13,70
mn_ore_lag26,262
mn_ore_rm4,57
mn_ore_rz4,191
mn_ore_rm8,73
mn_ore_rz8,119
mn_ore_rm13,143
mn_ore_rz13,98
mn_ore_rm26,49
mn_ore_rz26,239
chn_electricity_ret,338
chn_electricity_lag1,223
chn_electricity_lag2,79
chn_electricity_lag4,118
chn_electricity_lag6,178
chn_electricity_lag8,127
chn_electricity_lag13,91
chn_electricity_lag26,68
chn_electricity_rm4,187
chn_electricity_rz4,116
chn_electricity_rm8,123
chn_electricity_rz8,135
chn_electricity_rm13,80
chn_electricity_rz13,202
chn_electricity_rm26,44
chn_electricity_rz26,272
met_coal_ret,0
met_coal_lag1,0
met_coal_lag2,0
met_coal_lag4,0
met_coal_lag6,0
met_coal_lag8,0
met_coal_lag13,0
met_coal_lag26,0
met_coal_rm4,0
met_coal_rz4,0
met_coal_rm8,0
met_coal_rz8,0
met_coal_rm13,0
met_coal_rz13,0
met_coal_rm26,0
met_coal_rz26,0
dry_bulk_freight_ret,0
dry_bulk_freight_lag1,0
dry_bulk_freight_lag2,0
dry_bulk_freight_lag4,0
dry_bulk_freight_lag6,0
dry_bulk_freight_lag8,0
dry_bulk_freight_lag13,0
dry_bulk_freight_lag26,0
dry_bulk_freight_rm4,0
dry_bulk_freight_rz4,0
dry_bulk_freight_rm8,0
dry_bulk_freight_rz8,0
dry_bulk_freight_rm13,0
dry_bulk_freight_rz13,0
dry_bulk_freight_rm26,0
dry_bulk_freight_rz26,0
steel_etf_ret,309
steel_etf_lag1,136
steel_etf_lag2,78
steel_etf_lag4,93
steel_etf_lag6,143
steel_etf_lag8,164
steel_etf_lag13,231
steel_etf_lag26,193
steel_etf_rm4,32
steel_etf_rz4,240
steel_etf_rm8,35
steel_etf_rz8,369
steel_etf_rm13,47
steel_etf_rz13,624
steel_etf_rm26,171
steel_etf_rz26,526
usd_inr_ret,305
usd_inr_lag1,90
usd_inr_lag2,95
usd_inr_lag4,89
usd_inr_lag6,85
usd_inr_lag8,125
usd_inr_lag13,136
usd_inr_lag26,115
usd_inr_rm4,46
usd_inr_rz4,331
usd_inr_rm8,70
usd_inr_rz8,208
usd_inr_rm13,36
usd_inr_rz13,337
usd_inr_rm26,44
usd_inr_rz26,261
pick_ret,312
pick_lag1,167
pick_lag2,105
pick_lag4,174
pick_lag6,131
pick_lag8,145
pick_lag13,203
pick_lag26,250
pick_rm4,79
pick_rz4,253
pick_rm8,50
pick_rz8,351
pick_rm13,37
pick_rz13,290
pick_rm26,104
pick_rz26,240
month,133
quarter,0
