feature,importance
Target_Proxy_ret,909
Target_Proxy_rz13,617
Target_Proxy_rz4,546
solar_etf_rz8,537
Target_Proxy_rmax4,447
Target_Proxy_rmin4,446
Target_Proxy_lag1,442
china_etf_ret,364
Target_Proxy_rz8,305
week_of_year,280
Target_Proxy_rz26,269
cny_inr_rz8,261
silica_quartz_index_ret,252
Target_Proxy_rm4,250
crude_oil_ret,250
china_etf_rz4,241
thermal_coal_futures_ret,239
cny_inr_ret,234
silica_quartz_index_rz4,230
gfex_silicon_futures_lag13,223
semiconductor_etf_rz4,220
vix_lag13,218
solar_etf_ret,217
vix,210
vix_rz8,210
gfex_silicon_futures_ret,210
vix_lag4,207
thermal_coal_futures,204
thermal_coal_futures_rz13,196
thermal_coal_futures_lag8,183
semiconductor_etf_ret,182
vix_lag26,182
silica_quartz_index_rz13,171
vix_lag2,169
al_coal_ratio,168
al_price,167
gfex_silicon_futures_lag26,166
electricity_power_index_ret,166
al_price_rz4,157
vix_lag1,152
vix_lag6,152
cny_inr_rz4,152
silica_quartz_index,146
bdry_freight_ret,145
silica_quartz_index_lag6,145
crude_oil_lag2,142
silica_quartz_index_lag26,141
silica_quartz_index_rz8,140
vix_rz4,136
al_price_ret,135
fx_effect,132
bdry_freight_rz4,130
vix_ret,130
usd_inr_rz4,130
silica_quartz_index_lag1,127
china_etf_lag13,126
usd_inr_ret,126
silica_quartz_index_rz26,125
gfex_silicon_futures_rz4,125
electricity_power_index,123
thermal_coal_futures_rz4,123
Target_Proxy_lag2,122
china_etf_rz8,120
silica_quartz_index_lag2,119
silica_quartz_index_lag13,119
vix_rmin4,118
gfex_silicon_futures_rz13,116
electricity_power_index_rz13,116
Target_Proxy_lag13,114
solar_etf_lag4,113
thermal_coal_futures_rz26,113
gfex_silicon_futures_rz8,112
al_price_rz26,109
crude_oil_lag13,109
vix_rz13,106
Target_Proxy_lag6,105
vix_rm26,105
solar_etf_lag1,104
solar_etf_rz4,104
crude_oil_rz4,103
Target_Proxy_lag4,102
thermal_coal_futures_lag1,101
al_price_rz13,100
thermal_coal_futures_lag6,100
gfex_silicon_futures_rm26,100
Target_Proxy_lag8,99
vix_lag8,99
Target_Proxy_rm8,96
silica_quartz_index_lag8,96
al_price_lag2,95
crude_oil_rz26,95
thermal_coal_futures_rz8,94
thermal_coal_futures_lag13,93
gfex_silicon_futures_lag6,93
solar_etf_rz13,89
semiconductor_etf_rz8,88
crude_oil_lag26,86
usd_inr_rz13,86
usd_inr_rz8,85
al_price_rz8,84
thermal_coal_futures_lag4,83
cny_inr_rz26,83
electrode_consumables_index_rz8,83
solar_etf_lag26,82
Target_Proxy_rmax8,81
bdry_freight_rm26,81
crude_oil_rz8,80
electrode_consumables_index_rz26,79
solar_etf_lag13,78
bdry_freight_rz8,78
gfex_silicon_futures_lag1,78
crude_oil_lag1,77
Target_Proxy_rmin8,76
crude_oil_rz13,76
electrode_consumables_index,75
china_etf_rz26,75
gfex_silicon_futures_lag4,75
vix_rm13,74
electricity_power_index_rz4,74
vix_rmax4,72
vix_rz26,71
usd_inr_rz26,71
gfex_silicon_futures_lag2,70
solar_etf,69
gfex_silicon_futures_lag8,69
al_price_lag4,68
gfex_silicon_futures,67
china_etf_rz13,66
vix_rm4,66
crude_oil,65
Target_Proxy_lag26,65
gfex_silicon_futures_rz26,65
bdry_freight_lag4,64
al_price_lag8,63
semiconductor_etf_rz26,63
vix_rm8,63
crude_oil_lag8,63
cny_inr_rz13,62
al_price_lag26,61
vix_rmin8,61
solar_etf_lag2,60
solar_etf_rmin4,59
thermal_coal_futures_lag2,58
china_etf_lag26,56
electricity_power_index_rz8,55
al_price_lag1,54
electrode_consumables_index_rz13,53
crude_oil_rmin4,52
solar_etf_lag6,50
solar_etf_rz26,50
bdry_freight,49
semiconductor_etf_rz13,49
bdry_freight_lag1,49
bdry_freight_lag26,49
china_etf_lag8,46
crude_oil_rmax13,46
solar_etf_rm4,44
